tExp3,uExp3,iExp3,tExp4,uExp4,iExp4,tExp5,uExp5,iExp5,tExp6,uExp6,iExp6
0,2.3440671,-0.023073333,0,2.356872,-0.025233333,0,2.3701835,-0.025233333,0,2.248871,-0.021633333
0.2,2.3440132,-0.0274,0.2,2.3568397,-0.025233333,0.2,2.3701404,-0.021633333,0.2,2.2487524,-0.02884
0.4,2.3439808,-0.023073333,0.4,2.3568073,-0.023073333,0.4,2.370108,-0.020913333,0.4,2.2486769,-0.023073333
0.6,2.3439593,-0.022353333,0.6,2.3567642,-0.023073333,0.6,2.3701512,-0.024513333,0.6,2.2485692,-0.023073333
0.8,2.3439485,-0.023793333,0.8,2.3567426,-0.025233333,0.8,2.370108,-0.023073333,0.8,2.2484721,-0.022353333
1,2.3439162,-0.020913333,1,2.3567211,-0.02668,1,2.3700865,-0.022353333,1,2.2483536,-0.023793333
1.2,2.3438623,-0.020186667,1.2,2.356678,-0.025233333,1.2,2.3700865,-0.0274,1.2,2.2482889,-0.0274
1.4,2.3438299,-0.02596,1.4,2.3566241,-0.024513333,1.4,2.3700757,-0.022353333,1.4,2.2482027,-0.024513333
1.6,2.3438084,-0.031006667,1.6,2.3566241,-0.0274,1.6,2.4466789,-0.021633333,1.6,2.2530638,-0.023073333
1.8,6.3587028,7.4368734,1.8,6.2074473,12.619033,1.8,6.8382623,5.9544,1.8,8.2654719,7.5976667
2,7.2252986,4.5433134,2,7.1917558,4.4156867,2,7.2282519,3.5626867,2,7.9246864,2.9656667
2.2,7.4827228,3.6441667,2.2,7.4259736,3.4242467,2.2,7.4268897,3.0940067,2.2,7.8322066,2.49482
2.4,7.6022137,3.0932867,2.4,7.5718613,3.07238,2.4,7.5598863,2.89428,2.4,7.8222688,2.38306
2.6,7.6768875,2.8048733,2.6,7.6771355,2.8474133,2.6,7.648486,2.64408,2.6,7.8340821,2.2676933
2.8,7.7336474,2.6116267,2.8,7.7602598,2.6909467,2.8,7.7200233,2.5142867,2.8,7.853311,2.23308
3,7.780351,2.4421867,3,7.8245862,2.5662067,3,7.7740671,2.4054133,3,7.8789638,2.1746733
3.2,7.8300293,2.3621467,3.2,7.8750189,2.4616533,3.2,7.8263,2.3607067,3.2,7.9121079,2.13574
3.4,7.8732189,2.32826,3.4,7.9264326,2.40036,3.4,7.8760321,2.2828333,3.4,7.9480004,2.16314
3.6,7.9109869,2.2431733,3.6,7.9728127,2.3361933,3.6,7.9261092,2.29004,3.6,7.9837314,2.1653
3.8,7.9471813,2.2157733,3.8,8.0170695,2.30086,3.8,7.9691156,2.20496,3.8,8.0187725,2.1580933
4,7.9811122,2.1458333,4,8.0554519,2.2705733,4,8.0082849,2.18982,4,8.048338,2.09392
4.2,8.0150539,2.12348,4.2,8.0935971,2.23164,4.2,8.0429487,2.13502,4.2,8.0756724,2.0874267
4.4,8.045417,2.0888733,4.4,8.1297592,2.23308,4.4,8.0789168,2.1162733,4.4,8.1076092,2.0867067
4.6,8.0745083,2.08094,4.6,8.1607151,2.1840467,4.6,8.1114464,2.1393467,4.6,8.1384143,2.0910333
4.8,8.1043218,2.0636333,4.8,8.1954545,2.1710733,4.8,8.1425317,2.1025733,4.8,8.1600469,2.04056
5,8.1329604,2.0441667,5,8.226141,2.1617,5,8.1725284,2.08166,5,8.1858508,2.04056
5.2,8.1613726,2.01388,5.2,8.2572048,2.1328533,5.2,8.2008869,2.0795,5.2,8.2101672,2.02758
5.4,8.1860879,1.99946,5.4,8.2847978,2.13646,5.4,8.2316273,2.0766133,5.4,8.2328022,2.0203733
5.6,8.2095636,1.98576,5.6,8.310925,2.1032933,5.6,8.2571617,2.0030667,5.6,8.2512874,1.9936933
5.8,8.2332872,2.0052267,5.8,8.3348641,2.0874267,5.8,8.283041,2.0290267,5.8,8.2706564,2.0052267
6,8.2555341,1.97134,6,8.3588572,2.0492133,6,8.3073034,2.01028,6,8.2979153,2.0073933
6.2,8.2774469,1.9598066,6.2,8.3846826,2.0521,6.2,8.3310593,2.011,6.2,8.3157861,1.97134
6.4,8.2987668,1.9374533,6.4,8.4027151,2.04128,6.4,8.3558284,1.9879266,6.4,8.3305527,1.9605266
6.6,8.3191813,1.9360066,6.6,8.4251237,2.0174867,6.6,8.3774178,1.9936933,6.6,8.3496199,1.95764
6.8,8.3367719,1.94538,6.8,8.4478125,2.0095533,6.8,8.3963773,1.9619666,6.8,8.3698082,1.9619666
7,8.3549122,1.8970733,7,8.4653061,1.9929733,7,8.4146254,1.9338466,7,8.3846826,1.9266333
7.2,8.3763507,1.9071666,7.2,8.483759,1.9756666,7.2,8.4353417,1.9388933,7.2,8.4016588,1.9324066
7.4,8.394006,1.9050066,7.4,8.5036778,2.0095533,7.4,8.4531048,1.9208666,7.4,8.4243153,1.9533133
7.6,8.4117475,1.9107733,7.6,8.5208049,1.96918,7.6,8.4747481,1.9360066,7.6,8.4369262,1.9237533
7.8,8.4287453,1.88698,7.8,8.5365847,1.9360066,7.8,8.4891374,1.95764,7.8,8.4554653,1.9381733
8.001,8.4449885,1.8797666,8,8.5510064,1.9360066,8,8.5066958,1.9057266,8,8.4666211,1.8963533
8.2,8.4591515,1.8566933,8.2,8.5663551,1.9396133,8.2,8.525763,1.95548,8.2,8.4823254,1.90068
8.4,8.4740583,1.85886,8.4,8.5819516,1.9194266,8.4,8.542168,1.9078866,8.4,8.4928776,1.8768866
8.6,8.4873805,1.8393866,8.6,8.5946164,1.91582,8.6,8.559737,1.9122133,8.6,8.5083341,1.8877
8.8,8.5020826,1.8538133,8.8,8.6062357,1.8949066,8.8,8.5778881,1.9064466,8.8,8.518272,1.8703933
9,8.5159977,1.8278533,9,8.6223604,1.89996,9,8.5965781,1.91654,9,8.5298912,1.8559733
9.2,8.5299882,1.8329,9.2,8.6294419,1.8646266,9.2,8.6111291,1.9093333,9.2,8.5429225,1.87544
9.4,8.5422542,1.8329,9.4,8.6455558,1.8833733,9.4,8.6265532,1.8812066,9.4,8.5537765,1.8631866
9.6,8.5565681,1.8559733,9.6,8.6588565,1.8718333,9.6,8.642624,1.87616,9.6,8.5677563,1.8819333
9.8,8.5701491,1.8365066,9.8,8.6713704,1.8703933,9.8,8.6529391,1.8812066,9.8,8.5805288,1.8559733
10,8.5818869,1.8112666,10,8.6812975,1.8603,10,8.6639979,1.8494866,10,8.5897984,1.8372266
10.2,8.5938403,1.8119866,10.2,8.3929605,-0.021633333,10.2,8.6787753,1.88698,10.2,8.5991973,1.8112666
10.4,8.2090678,-0.023793333,10.4,8.1116512,-0.025233333,10.4,8.2693414,-0.020913333,10.4,8.6093507,1.8552533
10.6,7.967833,-0.024513333,10.6,7.9193834,-0.023073333,10.6,8.0270719,-0.023073333,10.6,8.6176717,1.8415533
10.8,7.7880469,-0.022353333,10.8,7.7602059,-0.020186667,10.8,7.8457876,-0.020186667,10.8,8.6243005,1.8228066
