vdc,freq,zReal,zImag
-1.3,100078.1,0.554815,0.0408493
-1.3,79453.13,0.5519146,0.0278588
-1.3,63140.62,0.5514957,0.0174275
-1.3,50203.12,0.5520962,0.0091249
-1.3,39890.62,0.553281,0.0020427
-1.3,31640.63,0.5552581,-0.0043706
-1.3,25171.88,0.557867,-0.0103142
-1.3,20015.62,0.5595543,-0.0156292
-1.3,15890.62,0.5626301,-0.0211166
-1.3,12609.37,0.5637836,-0.0266317
-1.3,10078.13,0.5678288,-0.0322784
-1.3,8015.625,0.5720412,-0.0390248
-1.3,6328.125,0.5770593,-0.0460162
-1.3,5015.625,0.5828435,-0.054779
-1.3,3984.375,0.5898939,-0.0650693
-1.3,3170.956,0.5981445,-0.075933
-1.3,2527.573,0.606334,-0.0882843
-1.3,1976.103,0.6119964,-0.101845
-1.3,1577.524,0.6254302,-0.116683
-1.3,1265.625,0.6430857,-0.1353234
-1.3,998.264,0.6636779,-0.1535306
-1.3,796.875,0.6936241,-0.1729896
-1.3,627.7902,0.7299107,-0.1889565
-1.3,505.5147,0.7695381,-0.1996206
-1.3,397.9953,0.8174185,-0.2033195
-1.3,315.5048,0.8648959,-0.1977433
-1.3,252.4038,0.9058477,-0.183558
-1.3,198.6229,0.9390275,-0.1613334
-1.3,158.3615,0.966588,-0.1380735
-1.3,125.558,0.988007,-0.1133914
-1.3,100.4464,0.999684,-0.0907305
-1.3,79.00281,1.008202,-0.0694247
-1.3,63.3446,1.013504,-0.0530465
-1.3,50.22321,1.016318,-0.0386128
-1.3,38.42213,1.014833,-0.0249983
-1.3,31.25,1.015463,-0.0169116
-1.3,24.93351,1.012078,-0.0100107
-1.3,19.86229,1.011364,-0.0038365
-1.3,15.625,1.010771,0.0003188
-1.3,12.40079,0.995748,0.0037414
-1.3,9.93114,0.996843,0.0058888
-1.3,7.944915,0.996913,0.0081925
-1.3,6.317385,0.996155,0.008919
-1.3,5.008013,0.996172,0.009921
-1.3,3.945707,0.992632,0.0110308
-1.3,3.158693,0.988447,0.0105387
-1.3,2.504006,0.989376,0.0110829
-1.3,1.998082,0.990018,0.0122412
-1.3,1.584686,0.986153,0.0098003
-1.3,1.266892,0.987929,0.0098132
-1.3,0.999041,0.989609,0.0114006
